RK,PLAYER NAME,POS,POS RANK,TEAM,BYE WEEK,ADP,ADP ROUND,TIMES DRAFTED,HIGH,LOW,STDEV
1,Jahmyr Gibbs,RB,1,DET,6,1.5,1.01,2112,1,4,0.7
2,Bijan Robinson,RB,2,ATL,11,2.2,1.02,1195,1,6,0.6
3,Puka Nacua,WR,1,LAR,11,3.1,1.03,283,1,6,0.8
4,Ja'Marr Chase,WR,2,CIN,6,3.8,1.04,2109,1,8,1.0
5,Jaxon Smith-Njigba,WR,3,SEA,11,5.5,1.05,1115,2,11,1.1
6,Amon-Ra St. Brown,WR,4,DET,6,6.4,1.06,1245,2,12,1.3
7,Christian McCaffrey,RB,3,SF,8,6.6,1.07,1697,2,12,1.6
8,Jonathan Taylor,RB,4,IND,13,7.5,1.07,1955,3,13,1.7
9,Drake London,WR,5,ATL,11,10.2,1.10,312,6,17,1.8
10,De'Von Achane,RB,5,MIA,6,10.6,1.11,910,5,18,1.9
11,CeeDee Lamb,WR,6,DAL,14,10.7,1.11,1369,5,18,1.9
12,Justin Jefferson,WR,7,MIN,6,11.7,1.12,1511,5,20,2.3
13,James Cook III,RB,6,BUF,7,12.6,2.01,3087,5,22,2.8
14,Chase Brown,RB,7,CIN,6,13.4,2.01,1979,6,22,2.5
15,Rashee Rice,WR,8,KC,5,14.9,2.03,254,9,24,2.3
16,Derrick Henry,RB,8,BAL,13,17.4,2.05,1106,10,25,2.7
17,A.J. Brown,WR,9,NE,11,17.6,2.06,1612,9,29,3.2
18,Ashton Jeanty,RB,9,LV,13,17.6,2.06,1283,3,35,5.6
19,Saquon Barkley,RB,10,PHI,10,19.3,2.07,2825,10,30,3.4
20,Chris Olave,WR,10,NO,8,19.8,2.08,615,11,30,3.3
21,Nico Collins,WR,11,HOU,8,20.4,2.08,887,13,32,2.8
22,George Pickens,WR,12,DAL,14,20.7,2.09,788,12,29,3.1
23,Kenneth Walker,RB,11,KC,5,21.6,2.10,2666,10,37,4.2
24,Omarion Hampton,RB,12,LAC,7,23.3,2.11,2380,11,37,4.4
25,Garrett Wilson,WR,13,NYJ,13,25.6,3.02,398,17,39,3.1
26,Zay Flowers,WR,14,BAL,13,25.9,3.02,466,17,37,3.2
27,Malik Nabers,WR,15,NYG,8,26.8,3.03,1721,17,40,3.5
28,Jeremiyah Love,RB,13,ARI,14,27.8,3.04,690,17,41,3.8
29,Trey McBride,TE,1,ARI,14,28.9,3.05,1148,17,42,4.6
30,DeVonta Smith,WR,16,PHI,10,29.5,3.06,1467,20,44,3.5
31,Josh Jacobs,RB,14,GB,11,31.1,3.07,717,21,42,3.5
32,Tetairoa McMillan,WR,17,CAR,5,31.5,3.07,604,21,48,3.8
33,Kyren Williams,RB,15,LAR,11,32.0,3.08,1321,20,44,4.3
34,Josh Allen,QB,1,BUF,7,33.7,3.10,1671,10,50,9.1
35,Breece Hall,RB,16,NYJ,13,34.7,3.11,763,23,47,4.2
36,Emeka Egbuka,WR,18,TB,10,34.8,3.11,1857,24,50,4.0
37,Brock Bowers,TE,2,LV,13,35.0,3.11,2689,16,52,7.1
38,Tee Higgins,WR,19,CIN,6,36.6,4.01,1184,23,52,5.0
39,Javonte Williams,RB,17,DAL,14,37.0,4.01,1657,25,50,4.6
40,Ladd McConkey,WR,20,LAC,7,37.7,4.02,2441,26,59,4.5
41,Travis Etienne Jr.,RB,18,NO,8,38.7,4.03,891,25,52,5.1
42,Cam Skattebo,RB,19,NYG,8,38.8,4.03,599,24,56,5.4
43,Davante Adams,WR,21,LAR,11,42.0,4.06,904,30,59,4.5
44,Jameson Williams,WR,22,DET,6,44.5,4.08,535,32,64,4.7
45,Bucky Irving,RB,20,TB,10,45.2,4.09,631,32,64,4.9
46,Jaylen Waddle,WR,23,DEN,10,45.2,4.09,2434,31,68,5.4
47,D'Andre Swift,RB,21,CHI,10,45.8,4.10,1232,34,58,4.5
48,Terry McLaurin,WR,24,WAS,7,47.4,4.11,939,34,66,4.9
49,DJ Moore,WR,25,BUF,7,47.8,4.12,2620,31,70,6.2
50,Quinshon Judkins,RB,22,CLE,11,50.8,5.03,841,37,66,5.2
51,Drake Maye,QB,2,NE,11,51.2,5.03,452,30,70,7.8
52,Bhayshul Tuten,RB,23,JAX,7,52.9,5.05,1097,38,69,5.5
53,Rome Odunze,WR,26,CHI,10,53.9,5.06,1216,38,72,5.8
54,Mike Evans,WR,27,SF,8,54.5,5.06,1034,37,76,6.4
55,Luther Burden III,WR,28,CHI,10,56.2,5.08,1275,37,80,7.2
56,Colston Loveland,TE,3,CHI,10,56.5,5.08,2137,33,80,9.0
57,Lamar Jackson,QB,3,BAL,13,56.6,5.09,929,38,73,7.1
58,Joe Burrow,QB,4,CIN,6,57.2,5.09,746,37,75,7.7
59,David Montgomery,RB,24,HOU,8,58.2,5.10,1847,42,79,6.2
60,Christian Watson,WR,29,GB,11,58.9,5.11,1876,42,80,6.5
61,Jaylen Warren,RB,25,PIT,9,59.0,5.11,276,44,74,5.9
62,Courtland Sutton,WR,30,DEN,10,60.2,5.12,748,43,79,6.5
63,TreVeyon Henderson,RB,26,NE,11,63.0,6.03,704,46,81,6.5
64,Parker Washington,WR,31,JAX,7,64.1,6.04,2196,44,87,7.5
65,DK Metcalf,WR,32,PIT,9,64.4,6.04,943,46,87,6.9
66,Rhamondre Stevenson,RB,27,NE,11,64.9,6.05,515,47,86,6.8
67,Dak Prescott,QB,5,DAL,14,65.1,6.05,620,43,96,8.4
68,Tyler Warren,TE,4,IND,13,65.2,6.05,1713,41,91,8.9
69,Marvin Harrison Jr.,WR,33,ARI,14,65.3,6.05,1244,45,87,7.5
70,Alec Pierce,WR,34,IND,13,68.7,6.09,568,49,85,7.4
71,Tony Pollard,RB,28,TEN,9,70.3,6.10,448,53,90,6.6
72,Jayden Daniels,QB,6,WAS,7,71.9,6.12,672,43,113,11.0
73,Brian Thomas Jr.,WR,35,JAX,7,72.7,7.01,1161,53,92,7.4
74,Michael Pittman Jr.,WR,36,PIT,9,74.7,7.03,975,54,96,7.8
75,Rico Dowdle,RB,29,PIT,9,75.2,7.03,533,55,97,7.5
76,Jadarian Price,RB,30,SEA,11,75.2,7.03,3207,48,119,10.3
77,Kyle Pitts Sr.,TE,5,ATL,11,75.3,7.03,403,50,98,9.7
78,Michael Wilson,WR,37,ARI,14,76.3,7.04,1219,55,99,8.0
79,Matthew Stafford,QB,7,LAR,11,77.1,7.05,392,50,115,11.1
80,Harold Fannin Jr.,TE,6,CLE,11,77.5,7.05,194,58,97,7.5
81,Carnell Tate,WR,38,TEN,9,78.4,7.06,1607,54,102,9.1
82,Jalen Hurts,QB,8,PHI,10,78.4,7.06,823,50,112,10.8
83,Chris Godwin Jr.,WR,39,TB,10,79.3,7.07,1622,57,101,8.2
84,Chuba Hubbard,RB,31,CAR,5,81.2,7.09,496,54,117,10.3
85,Seattle Defense,DST,1,SEA,11,81.7,7.10,274,58,101,8.7
86,Jakobi Meyers,WR,40,JAX,7,86.5,8.02,421,66,104,7.7
87,Wan'Dale Robinson,WR,41,TEN,9,86.7,8.03,738,64,110,8.4
88,Denver Defense,DST,2,DEN,10,86.8,8.03,421,68,107,7.1
89,Brock Purdy,QB,9,SF,8,87.2,8.03,278,57,120,11.6
90,Josh Downs,WR,42,IND,13,87.7,8.04,1023,65,110,8.4
91,J.K. Dobbins,RB,32,DEN,10,87.7,8.04,910,60,122,10.6
92,Caleb Williams,QB,10,CHI,10,90.2,8.06,1304,58,121,12.0
93,Trevor Lawrence,QB,11,JAX,7,91.4,8.07,1211,59,127,12.4
94,Stefon Diggs,WR,43,WAS,7,91.5,8.08,1253,67,116,9.2
95,RJ Harvey,RB,33,DEN,10,92.3,8.08,680,59,125,12.8
96,Kenny Gainwell,RB,34,TB,10,92.3,8.08,754,64,124,10.7
97,Jayden Reed,WR,44,GB,11,93.8,8.10,663,72,113,8.2
98,Jonathon Brooks,RB,35,CAR,5,94.6,8.11,2442,59,141,13.3
99,Jordan Addison,WR,45,MIN,6,97.4,9.01,599,75,126,8.5
100,Quentin Johnston,WR,46,LAC,7,97.4,9.01,861,74,119,8.9
101,Houston Defense,DST,3,HOU,8,97.8,9.02,891,72,124,9.5
102,Tucker Kraft,TE,7,GB,11,98.1,9.02,1458,49,153,18.9
103,Jared Goff,QB,12,DET,6,100.6,9.05,630,66,127,13.2
104,Patrick Mahomes,QB,13,KC,5,102.2,9.06,930,69,132,12.7
105,Khalil Shakir,WR,47,BUF,7,102.4,9.06,398,79,127,8.7
106,Travis Kelce,TE,8,KC,5,104.0,9.08,385,49,150,20.9
107,Aaron Jones Sr.,RB,36,MIN,6,104.3,9.08,453,72,141,12.4
108,Justin Herbert,QB,14,LAC,7,105.2,9.09,1538,68,140,14.1
109,Xavier Worthy,WR,48,KC,5,105.3,9.09,609,83,125,8.4
110,Dallas Goedert,TE,9,PHI,10,105.9,9.10,405,50,154,21.4
111,Matthew Golden,WR,49,GB,11,106.6,9.11,932,83,127,8.9
112,Deebo Samuel Sr.,WR,50,SF,8,107.3,9.11,587,81,134,10.0
113,LA Rams Defense,DST,4,LAR,11,107.7,9.12,753,78,147,11.4
114,George Kittle,TE,10,SF,8,109.8,10.02,915,54,160,21.3
115,Minnesota Defense,DST,5,MIN,6,110.4,10.02,101,84,133,10.1
116,Kyle Monangai,RB,37,CHI,10,110.8,10.03,589,77,147,12.9
117,Bo Nix,QB,15,DEN,10,111.5,10.04,844,77,142,13.1
118,Romeo Doubs,WR,51,NE,11,113.2,10.05,646,88,140,9.4
119,San Francisco Defense,DST,6,SF,8,113.5,10.06,6,77,164,40.0
120,Rachaad White,RB,38,WAS,7,113.5,10.06,570,78,148,13.6
121,Sam LaPorta,TE,11,DET,6,113.8,10.06,1007,56,166,22.0
122,Jacory Croskey-Merritt,RB,39,WAS,7,115.2,10.07,1259,78,150,14.2
123,Makai Lemon,WR,52,PHI,10,115.9,10.08,950,87,148,10.8
124,Jordan Mason,RB,40,MIN,6,116.6,10.09,1736,74,150,16.1
125,Jaxson Dart,QB,16,NYG,8,116.9,10.09,536,85,142,12.1
126,KC Concepcion,WR,53,CLE,11,121.0,11.01,1397,93,147,10.6
127,Jalen Coker,WR,54,CAR,5,121.6,11.02,494,94,150,10.4
128,Blake Corum,RB,41,LAR,11,122.5,11.03,1592,80,158,16.3
129,Jerry Jeudy,WR,55,CLE,11,127.1,11.07,275,97,150,11.5
130,Mark Andrews,TE,12,BAL,13,128.4,11.08,417,82,170,17.8
131,Rashid Shaheed,WR,56,SEA,11,128.5,11.08,550,99,150,11.1
132,New England Defense,DST,7,NE,11,128.5,11.08,363,87,179,15.7
133,Brandon Aubrey,K,1,DAL,14,128.5,11.08,2192,71,184,21.9
134,Detroit Defense,DST,8,DET,6,129.2,11.09,175,91,175,14.5
135,Baker Mayfield,QB,17,TB,10,129.9,11.10,450,102,150,10.6
136,Jake Ferguson,TE,13,DAL,14,131.0,11.11,480,86,174,16.9
137,Tyjae Spears,RB,42,TEN,9,131.3,11.11,130,102,150,11.2
138,Tre Tucker,WR,57,LV,13,132.0,11.12,280,108,151,8.9
139,Keenan Allen,WR,58,IND,13,132.1,11.12,318,101,150,11.9
140,Jayden Higgins,WR,59,HOU,8,132.5,11.12,26,109,149,8.7
141,De'Zhaun Stribling,WR,60,SF,8,132.8,12.01,1617,89,178,16.8
142,Kyler Murray,QB,18,MIN,6,134.0,12.02,644,105,166,11.1
143,Zach Charbonnet,RB,43,SEA,11,134.2,12.02,581,92,173,16.2
144,Pittsburgh Defense,DST,9,PIT,9,134.4,12.02,415,94,180,15.2
145,Jalen McMillan,WR,61,TB,10,134.8,12.03,191,103,153,12.2
146,Tyler Shough,QB,19,NO,8,135.1,12.03,306,104,154,11.9
147,Isaiah Likely,TE,14,NYG,8,136.3,12.04,1316,89,175,18.2
148,Jason Myers,K,2,SEA,11,136.8,12.05,199,89,184,18.2
149,Ka'imi Fairbairn,K,3,HOU,8,137.0,12.05,193,84,186,20.0
150,Philadelphia Defense,DST,10,PHI,10,137.9,12.06,706,95,180,16.5
151,Denzel Boston,WR,62,CLE,11,138.0,12.06,122,99,168,15.0
152,LA Chargers Defense,DST,11,LAC,7,140.1,12.08,665,101,180,14.7
153,Woody Marks,RB,44,HOU,8,140.2,12.08,440,98,177,16.1
154,Cameron Dicker,K,4,LAC,7,141.9,12.10,302,91,187,19.3
155,Sam Darnold,QB,20,SEA,11,143.4,12.11,251,109,178,13.1
156,Chimere Dike,WR,63,TEN,9,144.3,12.12,6,108,178,28.6
157,Calvin Ridley,WR,64,TEN,9,144.8,13.01,83,114,173,11.8
158,Mike Washington Jr.,RB,45,LV,13,145.8,13.02,336,75,210,27.2
